sequencia;setor;maquina;manutencao.tipo;OS;situacao;data.prog.inicio;data.prog.fim;data.real.inicio;obs;data
1;EXTRUSAO;108;INSPECAO MECANICA;;R;15/fev/24;15/02/2024 09:00;15/02/2024 08:00;;45337,3333
4;FABRICA;700;MONITORAMENTO MECANICO;;N;01/jun/23;15/06/2023 21:37;;campo observac?o;45078,9012
5;FABRICA;700;LIMPEZA;;N;01/jun/23;15/06/2023 21:54;;"campo observac?o da tela ""manutenc?o programada""";45078,9128
6;FABRICA;700;LIMPEZA;;N;05/jun/23;07/08/2023 11:45;;;45082,4897
7;FABRICA;701;INSPECAO MECANICA;;R;01/jun/23;30/06/2023 14:07;09/06/2023 14:54;;45078,5882
8;FABRICA;701;INSPECAO MECANICA;;N;15/jul/23;15/07/2023 14:07;;;45122,5882
9;FABRICA;701;MONITORAMENTO MECANICO;463;R;01/abr/23;15/04/2023 13:29;14/04/2023 13:00;"campo de observac?o da tela SMI014 sec?o ""manutenc?o""
onde essa mensagem aparece? ";45017,5621
10;FABRICA;701;MONITORAMENTO MECANICO;;N;21/abr/23;21/04/2023 14:00;24/04/2023 00:00;;45037,5833
11;FABRICA;700;INSPECAO MECANICA;;R;03/abr/23;03/04/2023 13:00;04/04/2023 12:00;"campo de observac?o na sec?o ""manutenc?o"" da tela ""manutenc?o programada""
acredito que esse campo seja para mensagem para todos os itens";45019,5
12;FABRICA;700;INSPECAO MECANICA;;N;18/abr/23;18/04/2023 14:00;;;45034,5833
13;FABRICA;701;INSPECAO MECANICA;;N;12/jul/23;12/07/2023 09:00;;;45119,3333
14;FABRICA;701;INSPECAO MECANICA;;N;12/jul/23;12/07/2023 17:00;;;45119,3333
15;FABRICA;700;INSPECAO MECANICA;;N;12/jul/23;13/07/2023 17:00;;;45119,3333
16;IMPRESSAO;204;R-300 LUBRIFICACAO;;N;01/ago/23;04/08/2023 08:00;03/08/2023 13:00;Lubrificac?o efetuada pela equipe da Flexopress, que veio para realizar a manutenc?o preventiva da maquina;45139,3333
17;IMPRESSAO;204;R-300 LUBRIFICACAO;;N;30/jan/24;30/01/2024 17:00;;;45321,7083
18;IMPRESSAO;207;R-300 LUBRIFICACAO;;R;22/jul/23;22/07/2023 16:00;22/07/2023 08:00;lubrificac?o de maicais, motores e rolamentos realizada;45129,3333
19;IMPRESSAO;207;R-300 LUBRIFICACAO;;N;18/jan/24;18/01/2024 16:00;;;45309,6666
20;EXTRUSAO;116;LIMPEZA;;N;25/set/23;25/09/2023 09:00;;;45194,2916
21;EXTRUSAO;108;INSPECAO MECANICA;;R;15/fev/24;15/02/2024 10:00;15/02/2024 08:20;;45337,3333
22;EXTRUSAO;108;INSPECAO MECANICA;2085;R;15/abr/24;15/04/2024 10:30;16/04/2024 00:00;;45397,4375
23;EXTRUSAO;115;MONITORAMENTO MECANICO;1724;R;17/fev/24;17/02/2024 01:30;17/02/2024 01:00;INSPECIONAR O REDUTOR ROSCA B;45339,0416
24;EXTRUSAO;115;MONITORAMENTO MECANICO;1736;R;18/fev/24;18/02/2024 01:40;18/02/2024 01:00;;45340,0555
25;EXTRUSAO;115;MONITORAMENTO MECANICO;;R;19/fev/24;19/02/2024 01:20;19/02/2024 01:10;;45341,0555
26;EXTRUSAO;115;MONITORAMENTO MECANICO;;R;20/fev/24;20/02/2024 01:21;20/02/2024 01:01;;45342,0562
27;EXTRUSAO;115;MONITORAMENTO MECANICO;;R;23/fev/24;24/02/2024 01:22;23/02/2024 01:01;;45345,0569
28;EXTRUSAO;115;MONITORAMENTO MECANICO;;R;26/fev/24;27/02/2024 01:23;26/02/2024 01:01;;45348,0576
29;EXTRUSAO;115;MONITORAMENTO MECANICO;;R;29/fev/24;28/02/2024 01:21;29/02/2024 01:00;;45351,0562
30;EXTRUSAO;115;MONITORAMENTO MECANICO;;N;03/mar/24;02/03/2024 01:22;;;45354,0569
31;IMPRESSAO;206;LIMPEZA FILTRO;1814;N;28/fev/24;28/02/2024 01:00;;;45350
32;IMPRESSAO;207;LIMPEZA FILTRO;1815;N;28/fev/24;28/02/2024 01:00;;;45350
33;FABRICA;701;TROCA DE FILTRO DE AR;1874;R;07/mar/24;07/03/2024 00:20;06/03/2024 14:00;;45358
34;FABRICA;702;TROCA DE FILTRO DE AR;1875;R;07/mar/24;07/03/2024 00:20;06/03/2024 14:00;;45358
35;FABRICA;702;TROCA DE FILTRO DE AR;1884;N;13/mar/24;13/03/2024 14:10;;;45364,5902
36;FABRICA;701;TROCA DE FILTRO DE AR;1885;N;13/mar/24;13/03/2024 14:01;;;45364,584
37;EXTRUSAO;112;INSPECAO ELETRICA;1886;R;22/mar/24;22/03/2024 01:00;06/04/2024 00:01;;45373
38;EXTRUSAO;113;INSPECAO ELETRICA;;N;23/mar/24;23/03/2024 01:00;;;45374
39;EXTRUSAO;113;INSPECAO MECANICA;1888;R;23/mar/24;23/03/2024 01:00;06/03/2024 00:00;;45374
40;EXTRUSAO;112;INSPECAO MECANICA;1889;R;22/mar/24;22/03/2024 01:00;11/04/2024 00:00;;45373
41;IMPRESSAO;206;R-300 LUBRIFICACAO;;R;03/mar/24;03/03/2024 15:00;03/03/2024 08:00;;45354,3333
42;IMPRESSAO;206;R-122 LUBRIFICACAO - IMPRESSORA;;P;30/ago/24;30/08/2024 14:00;;;45534,5833
43;IMPRESSAO;206;INSPECAO PAINEL ELETRICO;;R;03/mar/24;03/03/2024 12:00;03/03/2024 08:00;;45354,3333
44;IMPRESSAO;206;INSPECAO PAINEL ELETRICO;2146;N;02/mai/24;02/05/2024 12:00;;;45414,5
45;EXTRUSAO;108;INSPECAO ELETRICA;2784;R;15/abr/24;15/04/2024 17:00;16/08/2024 01:00;;45397,625
46;EXTRUSAO;115;R-300 LUBRIFICACAO;;R;11/mar/24;11/03/2024 12:00;28/03/2024 08:00;;45362,3333
47;EXTRUSAO;115;INSPECAO PAINEL ELETRICO;;R;13/mar/24;13/03/2024 12:00;13/03/2024 08:00;;45364,3333
48;EXTRUSAO;117;INSPECAO MECANICA;1978;R;26/mar/24;26/03/2024 11:00;01/04/2024 08:00;;45377,4166
49;EXTRUSAO;117;INSPECAO ELETRICA;1979;R;26/mar/24;26/03/2024 11:00;27/03/2024 15:40;;45377,4166
50;EXTRUSAO;115;R-300 LUBRIFICACAO;2740;R;24/set/24;24/09/2024 11:30;16/08/2024 23:00;;45559,4791
51;EXTRUSAO;117;INSPECAO MECANICA;2797;R;31/mai/24;31/05/2024 10:00;05/08/2024 13:00;;45443,4166
52;EXTRUSAO;117;INSPECAO ELETRICA;2798;R;26/mai/24;26/05/2024 17:30;05/08/2024 13:00;;45438,7291
53;EXTRUSAO;115;INSPECAO PAINEL ELETRICO;2032;R;12/abr/24;12/04/2024 12:00;11/04/2024 11:00;;45394,5
54;EXTRUSAO;117;INSPECAO PAINEL ELETRICO;2041;R;16/abr/24;16/04/2024 10:00;12/04/2024 13:00;;45398,3333
55;EXTRUSAO;118;R-300 LUBRIFICACAO;2046;R;08/abr/24;08/04/2024 10:00;11/04/2024 20:00;;45390,3333
56;EXTRUSAO;112;INSPECAO MECANICA;2834;R;10/jun/24;10/06/2024 00:10;21/08/2024 01:00;;45453,0069
57;EXTRUSAO;113;INSPECAO MECANICA;;N;05/mai/24;05/05/2024 01:00;;;45417,0416
58;EXTRUSAO;117;R-300 LUBRIFICACAO;2070;R;15/abr/24;15/04/2024 12:00;29/05/2024 02:00;;45397,3333
59;EXTRUSAO;108;INSPECAO MECANICA;2071;N;15/abr/24;15/04/2024 10:00;16/04/2024 00:00;;45397,3333
60;EXTRUSAO;115;INSPECAO PAINEL ELETRICO;;N;11/mai/24;11/05/2024 11:20;;;45423,4722
61;EXTRUSAO;117;INSPECAO PAINEL ELETRICO;;N;12/mai/24;12/05/2024 13:30;;;45424,5625
62;EXTRUSAO;108;R-300 LUBRIFICACAO;2080;R;17/abr/24;17/04/2024 04:00;17/04/2024 23:00;;45399
63;EXTRUSAO;118;R-300 LUBRIFICACAO;2741;R;08/out/24;08/10/2024 21:00;20/08/2024 01:00;;45573,875
64;EXTRUSAO;108;INSPECAO MECANICA;2785;R;15/jun/24;15/06/2024 00:00;16/08/2024 13:00;;45458
65;EXTRUSAO;115;INSPECAO MECANICA;;R;27/fev/24;27/02/2024 00:00;27/02/2024 07:00;;45349
66;EXTRUSAO;115;INSPECAO MECANICA;3222;R;27/abr/24;27/04/2024 11:30;19/08/2024 07:00;;45409,4791
67;EXTRUSAO;108;INSPECAO PAINEL ELETRICO;2099;R;18/abr/24;18/04/2024 08:00;18/04/2024 13:00;;45400,3333
68;EXTRUSAO;112;INSPECAO PAINEL ELETRICO;2110;N;22/abr/24;22/04/2024 10:00;01/07/2024 08:00;;45404,3333
69;EXTRUSAO;113;INSPECAO PAINEL ELETRICO;2144;N;29/abr/24;29/04/2024 10:00;;;45411,3333
70;EXTRUSAO;116;INSPECAO PAINEL ELETRICO;2148;N;06/mai/24;06/05/2024 10:00;;;45418,3333
71;EXTRUSAO;118;INSPECAO PAINEL ELETRICO;;N;13/mai/24;13/05/2024 10:00;;;45425,3333
72;EXTRUSAO;108;R-300 LUBRIFICACAO;2705;R;15/ago/24;15/08/2024 23:01;13/08/2024 01:00;;45519,959
73;EXTRUSAO;112;R-300 LUBRIFICACAO;2121;R;22/abr/24;22/04/2024 10:00;25/04/2024 23:00;;45404,3333
74;EXTRUSAO;113;R-300 LUBRIFICACAO;2143;R;29/abr/24;29/04/2024 10:00;02/05/2024 02:00;;45411,3333
75;EXTRUSAO;116;R-300 LUBRIFICACAO;2147;R;06/mai/24;06/05/2024 10:00;29/08/2024 02:00;;45418,3333
76;EXTRUSAO;115;INSPECAO ELETRICA;3221;N;20/abr/24;20/04/2024 10:00;;;45402,3333
77;EXTRUSAO;112;R-300 LUBRIFICACAO;2742;R;23/out/24;23/10/2024 01:00;20/08/2024 03:00;;45588,0416
78;EXTRUSAO;108;INSPECAO PAINEL ELETRICO;;N;18/mai/24;18/05/2024 14:00;;;45430,5833
79;IMPRESSAO;201;R-300 LUBRIFICACAO;2154;N;29/abr/24;29/04/2024 10:00;;;45411,3333
80;IMPRESSAO;201;INSPECAO PAINEL ELETRICO;;N;06/ago/24;06/08/2024 10:00;;;45510,3333
81;EXTRUSAO;112;INSPECAO PAINEL ELETRICO;;N;31/jul/24;31/07/2024 09:00;;;45504,375
82;EXTRUSAO;113;R-300 LUBRIFICACAO;2743;R;29/out/24;29/10/2024 03:00;21/08/2024 04:00;;45594,125
83;EXTRUSAO;117;R-300 LUBRIFICACAO;2746;R;25/nov/24;25/11/2024 03:00;17/08/2024 00:01;;45621,125
84;EXTRUSAO;112;INSPECAO ELETRICA;2900;R;05/jun/24;05/06/2024 00:02;20/08/2024 04:00;;45448,0013
85;EXTRUSAO;118;INSPECAO ELETRICA;2541;R;02/jul/24;02/07/2024 18:00;03/07/2024 15:15;;45475,6666
86;EXTRUSAO;118;INSPECAO MECANICA;2542;R;02/jul/24;02/07/2024 09:00;02/07/2024 15:30;;45475,3333
87;EXTRUSAO;118;R-111 INSPECAO ELETRICA - COEX 5;4363;R;01/set/24;01/09/2024 16:30;06/12/2024 00:01;;45536,6875
88;EXTRUSAO;118;R-108 INSPECAO MECANICA - COEX 5;4357;P;31/ago/24;31/08/2024 16:30;;;45535,6875
89;EXTRUSAO;9021;LIMPEZA;2786;P;06/ago/24;06/08/2024 09:30;;;45510,3333
90;LAMINACAO;301;R-123 LUBRIFICACAO - LAMINADORA;;P;01/out/24;01/10/2024 10:00;;;45566,3333
91;LAMINACAO;301;R-130 INSPECAO MECANICA - LAMINADORA;;P;01/set/24;01/09/2024 10:00;;;45536,3333
92;LAMINACAO;302;R-123 LUBRIFICACAO - LAMINADORA;;P;01/out/24;01/10/2024 10:00;;;45566,3333
93;LAMINACAO;302;R-130 INSPECAO MECANICA - LAMINADORA;;P;01/set/24;01/09/2024 10:00;;;45536,0055
94;LAMINACAO;301;R-131 INSPECAO ELETRICA - LAMINADORA;;P;01/set/24;01/09/2024 00:00;;;45536
95;LAMINACAO;302;R-131 INSPECAO ELETRICA - LAMINADORA;;P;01/set/24;01/09/2024 00:00;;;45536
96;EXTRUSAO;108;R-105 LUBRIFICACAO - EXTRUSORA;3054;R;11/nov/24;11/11/2024 03:46;11/12/2024 14:00;;45607,1569
97;EXTRUSAO;108;R-109 INSPECAO ELETRICA - MONO;;P;15/out/24;15/10/2024 02:00;;;45580,0833
98;EXTRUSAO;112;INSPECAO ELETRICA;3998;R;19/out/24;19/10/2024 05:00;11/11/2024 06:00;;45584,2083
99;EXTRUSAO;112;INSPECAO MECANICA;3999;R;20/out/24;20/10/2024 02:00;09/11/2024 07:30;;45585,0833
100;EXTRUSAO;108;R-106 INSPECAO MECANICA - EXT MONO;;P;15/out/24;15/10/2024 14:00;;;45580,5833
101;EXTRUSAO;117;R-110 INSPECAO ELETRICA - COEX 3;3738;R;04/out/24;04/10/2024 14:00;04/12/2024 00:01;;45569,5833
102;EXTRUSAO;117;R-107 INSPECAO MECANICA - COEX 3;4401;R;04/out/24;04/10/2024 14:00;09/12/2024 00:01;;45569,5833
103;EXTRUSAO;116;R-105 LUBRIFICACAO - EXTRUSORA;4356;R;27/nov/24;27/11/2024 03:00;11/12/2024 00:01;;45623,125
104;EXTRUSAO;112;R-105 LUBRIFICACAO - EXTRUSORA;4148;P;18/nov/24;18/11/2024 04:00;;;45614,1666
105;EXTRUSAO;113;R-300 LUBRIFICACAO;3712;R;19/nov/24;19/11/2024 05:00;19/10/2024 07:30;;45615,2083
106;EXTRUSAO;118;R-300 LUBRIFICACAO;4278;R;18/nov/24;18/11/2024 02:00;28/11/2024 07:30;;45614,0833
107;EXTRUSAO;115;R-300 LUBRIFICACAO;3418;R;14/nov/24;14/11/2024 23:59;25/09/2024 07:30;;45610,9993
108;EXTRUSAO;117;R-105 LUBRIFICACAO - EXTRUSORA;4672;P;15/nov/24;15/11/2024 01:00;;;45611,0416
109;EXTRUSAO;115;R-107 INSPECAO MECANICA - COEX 3;;P;18/out/24;18/10/2024 12:00;;;45583,5
110;EXTRUSAO;118;ANALISE DE VIBRACAO;;R;12/jul/24;12/07/2024 12:00;12/07/2024 08:00;OS DA AC?O: 2620;45485,3333
111;EXTRUSAO;118;R-137 ANALISE DE VIBRACAO - EXTRUSORA;4597;R;10/set/24;10/09/2024 17:00;17/12/2024 00:00;;45545,7083
112;EXTRUSAO;117;ANALISE DE VIBRACAO;;R;09/ago/24;09/08/2024 12:00;09/08/2024 08:00;OS DE REFERENCIA: 2895;45513,3333
113;EXTRUSAO;117;R-137 ANALISE DE VIBRACAO - EXTRUSORA;;P;08/out/24;08/10/2024 17:00;;;45573,7083
114;EXTRUSAO;108;ANALISE DE VIBRACAO;;R;09/ago/24;09/08/2024 12:00;09/08/2024 08:00;OS DE REFERENCIA: 2896;45513,3333
115;EXTRUSAO;108;R-137 ANALISE DE VIBRACAO - EXTRUSORA;4598;R;08/out/24;08/10/2024 17:00;17/12/2024 00:00;;45573,7083
116;EXTRUSAO;115;ANALISE DE VIBRACAO;3438;R;19/set/24;19/09/2024 12:00;19/09/2024 08:00;OS DE REFERENCIA: ;45554,3333
117;EXTRUSAO;108;TERMOGRAFIA;3735;R;07/out/24;07/10/2024 00:00;07/11/2024 01:00;;45572
118;EXTRUSAO;112;TERMOGRAFIA;3736;R;08/out/24;08/10/2024 00:00;07/11/2024 01:00;;45573
119;EXTRUSAO;113;TERMOGRAFIA;3521;R;08/out/24;08/10/2024 00:00;17/10/2024 08:00;;45573
